person_income_boxcox,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status
-1.098398090943202,RENT,0.0,EDUCATION,B,6000,11.49,0.17,N,0
-0.042652183083643255,OWN,6.0,MEDICAL,C,4000,13.35,0.07,N,0
-1.5395198114898025,OWN,8.0,PERSONAL,A,6000,8.9,0.21,N,0
0.45483341783368075,RENT,14.0,VENTURE,B,12000,11.11,0.17,N,0
0.1114203200616098,RENT,2.0,MEDICAL,A,6000,6.92,0.1,N,0
-0.5325459107858193,RENT,2.0,VENTURE,A,9000,8.94,0.2,N,0
-0.5325459107858193,MORTGAGE,9.0,EDUCATION,A,12000,6.54,0.27,N,0
-2.369534832051141,RENT,0.0,PERSONAL,C,2500,13.49,0.13,Y,0
0.4420872744953999,RENT,11.0,EDUCATION,D,5000,14.84,0.07,Y,0
1.455169235076122,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,12.98,0.14,Y,0
0.6952248192028243,MORTGAGE,5.0,VENTURE,B,12800,10.59,0.17,N,0
-1.2313272902526433,RENT,6.0,PERSONAL,B,10000,11.12,0.3,N,1
-1.2313272902526433,MORTGAGE,1.0,EDUCATION,B,4000,10.75,0.12,N,0
0.45483341783368075,MORTGAGE,2.0,DEBTCONSOLIDATION,B,16000,11.14,0.23,N,0
1.2450424051449376,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.57,0.05,Y,0
-1.2313272902526433,OWN,8.0,MEDICAL,A,7300,8.9,0.23,N,0
0.7513858436296598,RENT,2.0,HOMEIMPROVEMENT,D,17000,14.11,0.21,Y,0
0.1114203200616098,OWN,13.0,MEDICAL,A,15000,6.62,0.25,N,0
0.8595273984212968,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5950,11.12,0.07,N,0
0.28988062843598217,MORTGAGE,3.0,DEBTCONSOLIDATION,C,4800,12.73,0.07,Y,0
-0.5325459107858193,OWN,0.0,PERSONAL,A,3200,7.88,0.07,N,0
-0.5325459107858193,MORTGAGE,3.0,PERSONAL,A,7000,8.59,0.16,N,0
1.1317782782451569,MORTGAGE,10.0,EDUCATION,A,10000,7.68,0.11,N,0
-1.2313272902526433,RENT,2.0,VENTURE,A,3000,6.99,0.09,N,0
-1.4470066056143203,RENT,3.0,MEDICAL,D,5000,16.49,0.17,N,1
-1.8608284519682006,RENT,3.0,VENTURE,C,3500,13.49,0.14,Y,1
0.6081629468826527,MORTGAGE,12.0,VENTURE,A,14000,7.88,0.19,N,0
-0.5325459107858193,RENT,5.0,DEBTCONSOLIDATION,A,2800,6.54,0.06,N,0
1.683022465847731,MORTGAGE,13.0,MEDICAL,A,10000,8.59,0.08,N,0
-0.2962342156178043,RENT,4.0,PERSONAL,B,6000,11.49,0.12,N,0
-0.3877293245500711,RENT,12.0,EDUCATION,B,2000,9.62,0.04,N,0
0.6952248192028243,MORTGAGE,7.0,PERSONAL,A,5500,8.0,0.07,N,0
