person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status,rate_burden
35000,RENT,0.0,EDUCATION,B,6000,11.49,0.17,N,0,1.9533000000000003
56000,OWN,6.0,MEDICAL,C,4000,13.35,0.07,N,0,0.9345000000000001
28800,OWN,8.0,PERSONAL,A,6000,8.9,0.21,N,0,1.869
70000,RENT,14.0,VENTURE,B,12000,11.11,0.17,N,0,1.8887
60000,RENT,2.0,MEDICAL,A,6000,6.92,0.1,N,0,0.6920000000000001
45000,RENT,2.0,VENTURE,A,9000,8.94,0.2,N,0,1.788
45000,MORTGAGE,9.0,EDUCATION,A,12000,6.54,0.27,N,0,1.7658
20000,RENT,0.0,PERSONAL,C,2500,13.49,0.13,Y,0,1.7537
69600,RENT,11.0,EDUCATION,D,5000,14.84,0.07,Y,0,1.0388000000000002
110000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,12.98,0.14,Y,0,1.8172000000000001
78000,MORTGAGE,5.0,VENTURE,B,12800,10.59,0.17,N,0,1.8003
33000,RENT,6.0,PERSONAL,B,10000,11.12,0.3,N,1,3.336
33000,MORTGAGE,1.0,EDUCATION,B,4000,10.75,0.12,N,0,1.29
70000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,16000,11.14,0.23,N,0,2.5622000000000003
100000,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.57,0.05,Y,0,0.6785000000000001
33000,OWN,8.0,MEDICAL,A,7300,8.9,0.23,N,0,2.047
80000,RENT,2.0,HOMEIMPROVEMENT,D,17000,14.11,0.21,Y,0,2.9631
60000,OWN,13.0,MEDICAL,A,15000,6.62,0.25,N,0,1.655
84000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5950,11.12,0.07,N,0,0.7784
65000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,4800,12.73,0.07,Y,0,0.8911000000000001
45000,OWN,0.0,PERSONAL,A,3200,7.88,0.07,N,0,0.5516000000000001
45000,MORTGAGE,3.0,PERSONAL,A,7000,8.59,0.16,N,0,1.3744
95000,MORTGAGE,10.0,EDUCATION,A,10000,7.68,0.11,N,0,0.8448
33000,RENT,2.0,VENTURE,A,3000,6.99,0.09,N,0,0.6291
30000,RENT,3.0,MEDICAL,D,5000,16.49,0.17,N,1,2.8033
25000,RENT,3.0,VENTURE,C,3500,13.49,0.14,Y,1,1.8886000000000003
75000,MORTGAGE,12.0,VENTURE,A,14000,7.88,0.19,N,0,1.4972
45000,RENT,5.0,DEBTCONSOLIDATION,A,2800,6.54,0.06,N,0,0.39239999999999997
122004,MORTGAGE,13.0,MEDICAL,A,10000,8.59,0.08,N,0,0.6872
50000,RENT,4.0,PERSONAL,B,6000,11.49,0.12,N,0,1.3788
48000,RENT,12.0,EDUCATION,B,2000,9.62,0.04,N,0,0.3848
78000,MORTGAGE,7.0,PERSONAL,A,5500,8.0,0.07,N,0,0.56
80000,RENT,3.0,MEDICAL,B,6000,10.75,0.07,N,0,0.7525000000000001
72000,RENT,3.0,VENTURE,C,16000,15.96,0.22,Y,0,3.5112
51000,MORTGAGE,6.0,PERSONAL,A,12000,7.66,0.24,N,0,1.8384
120000,MORTGAGE,1.0,EDUCATION,E,6000,18.64,0.05,Y,0,0.932
90000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,14400,7.9,0.16,N,0,1.264
68000,MORTGAGE,7.0,PERSONAL,C,15900,13.49,0.25,N,0,3.3725
54000,RENT,0.0,MEDICAL,B,12500,11.71,0.24,N,1,2.8104
32000,RENT,6.0,EDUCATION,D,8000,15.58,0.25,N,1,3.895
120000,MORTGAGE,4.0,EDUCATION,A,4000,7.14,0.03,N,0,0.21419999999999997
70000,MORTGAGE,5.0,VENTURE,B,10000,12.18,0.14,N,0,1.7052
67000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,16000,7.49,0.24,N,0,1.7976
92700,OWN,2.0,EDUCATION,B,2000,9.25,0.02,N,0,0.185
58000,RENT,13.0,HOMEIMPROVEMENT,C,15000,14.27,0.26,Y,0,3.7102
31200,RENT,7.0,MEDICAL,B,2400,11.71,0.08,N,0,0.9368000000000001
90000,MORTGAGE,5.0,PERSONAL,A,12000,6.62,0.13,N,0,0.8606
39996,RENT,2.0,DEBTCONSOLIDATION,B,8000,12.53,0.2,N,0,2.5060000000000002
44000,MORTGAGE,13.0,EDUCATION,B,10000,11.86,0.23,N,1,2.7278
82632,RENT,3.0,DEBTCONSOLIDATION,B,10000,12.21,0.12,N,0,1.4652
40000,RENT,9.0,EDUCATION,A,8000,7.68,0.2,N,0,1.536
66000,RENT,5.0,HOMEIMPROVEMENT,B,10000,10.99,0.15,N,0,1.6485
70000,RENT,9.0,EDUCATION,A,20000,6.54,0.29,N,0,1.8965999999999998
48000,RENT,7.0,MEDICAL,A,8000,8.9,0.17,N,1,1.5130000000000001
90000,MORTGAGE,12.0,EDUCATION,B,6000,9.91,0.07,N,0,0.6937000000000001
34560,RENT,8.0,MEDICAL,E,10000,16.4,0.29,Y,1,4.755999999999999
40000,MORTGAGE,3.0,PERSONAL,B,12000,10.36,0.3,N,0,3.1079999999999997
60000,MORTGAGE,11.0,VENTURE,A,2000,7.66,0.03,N,0,0.2298
40000,RENT,1.0,MEDICAL,B,14125,9.91,0.35,N,1,3.4684999999999997
54000,RENT,3.0,DEBTCONSOLIDATION,C,3000,14.26,0.06,Y,0,0.8555999999999999
54000,RENT,1.0,PERSONAL,A,9600,9.32,0.18,N,1,1.6776
60000,RENT,2.0,VENTURE,A,5500,5.42,0.09,N,0,0.48779999999999996
60000,RENT,5.0,PERSONAL,E,17200,17.06,0.28,Y,0,4.7768
50000,RENT,5.0,PERSONAL,C,4200,15.23,0.08,Y,0,1.2184000000000001
80000,MORTGAGE,7.0,VENTURE,A,2000,7.51,0.02,N,0,0.1502
90000,MORTGAGE,2.0,VENTURE,A,15000,9.38,0.17,N,0,1.5946000000000002
120000,MORTGAGE,13.0,VENTURE,C,7200,14.72,0.06,Y,0,0.8832
30000,RENT,2.0,MEDICAL,A,12000,7.51,0.4,N,1,3.004
62900,MORTGAGE,2.0,MEDICAL,D,18000,14.09,0.24,N,1,3.3815999999999997
40000,RENT,3.0,MEDICAL,C,3000,13.22,0.07,N,0,0.9254000000000001
68000,MORTGAGE,0.0,MEDICAL,A,5000,8.9,0.07,N,0,0.6230000000000001
75000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.51,0.16,N,0,1.2016
31200,RENT,1.0,PERSONAL,C,3200,13.11,0.1,Y,0,1.311
24000,RENT,4.0,MEDICAL,B,3000,10.95,0.13,N,0,1.4235
100000,MORTGAGE,7.0,EDUCATION,A,6000,7.74,0.06,N,0,0.4644
27000,OWN,0.0,PERSONAL,A,12000,7.51,0.44,N,0,3.3044
70000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,7.29,0.14,N,0,1.0206000000000002
42000,RENT,3.0,VENTURE,B,2000,11.49,0.05,N,0,0.5745
120000,RENT,0.0,DEBTCONSOLIDATION,B,20000,10.37,0.17,N,0,1.7629
90000,MORTGAGE,8.0,PERSONAL,A,10000,5.99,0.11,N,0,0.6589
60000,RENT,2.0,DEBTCONSOLIDATION,B,7000,10.62,0.12,N,0,1.2743999999999998
45600,RENT,6.0,DEBTCONSOLIDATION,A,23500,7.66,0.5,N,1,3.83
75000,RENT,3.0,PERSONAL,B,15000,11.49,0.2,N,0,2.298
75000,RENT,0.0,PERSONAL,A,10000,6.99,0.13,N,0,0.9087000000000001
70000,RENT,2.0,HOMEIMPROVEMENT,B,16000,12.18,0.23,N,0,2.8014
74000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,7000,15.62,0.09,N,1,1.4058
112000,MORTGAGE,21.0,MEDICAL,A,5000,7.9,0.04,N,0,0.316
30000,RENT,0.0,VENTURE,A,12000,8.94,0.4,N,1,3.576
110000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6000,11.71,0.05,N,0,0.5855
42000,RENT,3.0,DEBTCONSOLIDATION,B,3550,11.99,0.08,N,0,0.9592
65000,MORTGAGE,2.0,VENTURE,D,5000,15.2,0.07,Y,0,1.064
175000,RENT,0.0,MEDICAL,C,3000,14.26,0.01,Y,0,0.1426
150000,MORTGAGE,1.0,VENTURE,B,20000,11.58,0.13,N,0,1.5054
70000,MORTGAGE,0.0,EDUCATION,C,6000,12.53,0.09,Y,0,1.1277
33000,RENT,4.0,PERSONAL,B,9800,10.62,0.28,N,0,2.9736000000000002
96000,MORTGAGE,5.0,PERSONAL,A,15000,5.99,0.16,N,0,0.9584
70000,RENT,9.0,HOMEIMPROVEMENT,B,12000,11.48,0.17,N,0,1.9516000000000002
36000,MORTGAGE,1.0,MEDICAL,A,8000,6.91,0.22,N,0,1.5202
