person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status,rate_deviation
35000,RENT,0.0,EDUCATION,B,6000,11.49,0.17,N,0,0.455267156862746
56000,OWN,6.0,MEDICAL,C,4000,13.35,0.07,N,0,-0.16034251540413358
28800,OWN,8.0,PERSONAL,A,6000,8.9,0.21,N,0,1.5648241517346557
70000,RENT,14.0,VENTURE,B,12000,11.11,0.17,N,0,0.07526715686274521
60000,RENT,2.0,MEDICAL,A,6000,6.92,0.1,N,0,-0.4151758482653447
45000,RENT,2.0,VENTURE,A,9000,8.94,0.2,N,0,1.6048241517346549
45000,MORTGAGE,9.0,EDUCATION,A,12000,6.54,0.27,N,0,-0.7951758482653446
20000,RENT,0.0,PERSONAL,C,2500,13.49,0.13,Y,0,-0.02034251540413301
69600,RENT,11.0,EDUCATION,D,5000,14.84,0.07,Y,0,-0.5645987286452119
110000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,12.98,0.14,Y,0,-0.5303425154041328
78000,MORTGAGE,5.0,VENTURE,B,12800,10.59,0.17,N,0,-0.44473284313725436
33000,RENT,6.0,PERSONAL,B,10000,11.12,0.3,N,1,0.085267156862745
33000,MORTGAGE,1.0,EDUCATION,B,4000,10.75,0.12,N,0,-0.2847328431372542
70000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,16000,11.14,0.23,N,0,0.10526715686274635
100000,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.57,0.05,Y,0,0.05965748459586706
33000,OWN,8.0,MEDICAL,A,7300,8.9,0.23,N,0,1.5648241517346557
80000,RENT,2.0,HOMEIMPROVEMENT,D,17000,14.11,0.21,Y,0,-1.2945987286452123
60000,OWN,13.0,MEDICAL,A,15000,6.62,0.25,N,0,-0.7151758482653445
84000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5950,11.12,0.07,N,0,0.085267156862745
65000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,4800,12.73,0.07,Y,0,-0.7803425154041328
45000,OWN,0.0,PERSONAL,A,3200,7.88,0.07,N,0,0.5448241517346553
45000,MORTGAGE,3.0,PERSONAL,A,7000,8.59,0.16,N,0,1.2548241517346552
95000,MORTGAGE,10.0,EDUCATION,A,10000,7.68,0.11,N,0,0.3448241517346551
33000,RENT,2.0,VENTURE,A,3000,6.99,0.09,N,0,-0.3451758482653444
30000,RENT,3.0,MEDICAL,D,5000,16.49,0.17,N,1,1.0854012713547867
25000,RENT,3.0,VENTURE,C,3500,13.49,0.14,Y,1,-0.02034251540413301
75000,MORTGAGE,12.0,VENTURE,A,14000,7.88,0.19,N,0,0.5448241517346553
45000,RENT,5.0,DEBTCONSOLIDATION,A,2800,6.54,0.06,N,0,-0.7951758482653446
122004,MORTGAGE,13.0,MEDICAL,A,10000,8.59,0.08,N,0,1.2548241517346552
50000,RENT,4.0,PERSONAL,B,6000,11.49,0.12,N,0,0.455267156862746
48000,RENT,12.0,EDUCATION,B,2000,9.62,0.04,N,0,-1.414732843137255
78000,MORTGAGE,7.0,PERSONAL,A,5500,8.0,0.07,N,0,0.6648241517346554
80000,RENT,3.0,MEDICAL,B,6000,10.75,0.07,N,0,-0.2847328431372542
