person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_status,intent_default_risk
35000,RENT,0.0,B,6000,11.49,0.17,0,2
56000,OWN,6.0,C,4000,13.35,0.07,0,5
28800,OWN,8.0,A,6000,8.9,0.21,0,3
70000,RENT,14.0,B,12000,11.11,0.17,0,1
60000,RENT,2.0,A,6000,6.92,0.1,0,5
45000,RENT,2.0,A,9000,8.94,0.2,0,1
45000,MORTGAGE,9.0,A,12000,6.54,0.27,0,2
20000,RENT,0.0,C,2500,13.49,0.13,0,9
69600,RENT,11.0,D,5000,14.84,0.07,0,8
110000,MORTGAGE,0.0,C,15000,12.98,0.14,0,12
78000,MORTGAGE,5.0,B,12800,10.59,0.17,0,1
33000,RENT,6.0,B,10000,11.12,0.3,1,3
33000,MORTGAGE,1.0,B,4000,10.75,0.12,0,2
70000,MORTGAGE,2.0,B,16000,11.14,0.23,0,6
100000,RENT,1.0,C,5000,13.57,0.05,0,10
33000,OWN,8.0,A,7300,8.9,0.23,0,5
80000,RENT,2.0,D,17000,14.11,0.21,0,10
60000,OWN,13.0,A,15000,6.62,0.25,0,5
84000,MORTGAGE,6.0,B,5950,11.12,0.07,0,6
65000,MORTGAGE,3.0,C,4800,12.73,0.07,0,12
45000,OWN,0.0,A,3200,7.88,0.07,0,3
45000,MORTGAGE,3.0,A,7000,8.59,0.16,0,3
95000,MORTGAGE,10.0,A,10000,7.68,0.11,0,2
33000,RENT,2.0,A,3000,6.99,0.09,0,1
30000,RENT,3.0,D,5000,16.49,0.17,1,5
25000,RENT,3.0,C,3500,13.49,0.14,1,7
75000,MORTGAGE,12.0,A,14000,7.88,0.19,0,1
45000,RENT,5.0,A,2800,6.54,0.06,0,6
122004,MORTGAGE,13.0,A,10000,8.59,0.08,0,5
50000,RENT,4.0,B,6000,11.49,0.12,0,3
48000,RENT,12.0,B,2000,9.62,0.04,0,2
78000,MORTGAGE,7.0,A,5500,8.0,0.07,0,3
80000,RENT,3.0,B,6000,10.75,0.07,0,5
72000,RENT,3.0,C,16000,15.96,0.22,0,7
51000,MORTGAGE,6.0,A,12000,7.66,0.24,0,3
120000,MORTGAGE,1.0,E,6000,18.64,0.05,0,8
90000,MORTGAGE,2.0,A,14400,7.9,0.16,0,6
68000,MORTGAGE,7.0,C,15900,13.49,0.25,0,3
54000,RENT,0.0,B,12500,11.71,0.24,1,5
32000,RENT,6.0,D,8000,15.58,0.25,1,2
120000,MORTGAGE,4.0,A,4000,7.14,0.03,0,2
70000,MORTGAGE,5.0,B,10000,12.18,0.14,0,1
67000,MORTGAGE,7.0,A,16000,7.49,0.24,0,6
92700,OWN,2.0,B,2000,9.25,0.02,0,2
58000,RENT,13.0,C,15000,14.27,0.26,0,10
31200,RENT,7.0,B,2400,11.71,0.08,0,5
90000,MORTGAGE,5.0,A,12000,6.62,0.13,0,3
39996,RENT,2.0,B,8000,12.53,0.2,0,6
44000,MORTGAGE,13.0,B,10000,11.86,0.23,1,2
82632,RENT,3.0,B,10000,12.21,0.12,0,6
40000,RENT,9.0,A,8000,7.68,0.2,0,2
66000,RENT,5.0,B,10000,10.99,0.15,0,4
70000,RENT,9.0,A,20000,6.54,0.29,0,2
48000,RENT,7.0,A,8000,8.9,0.17,1,5
90000,MORTGAGE,12.0,B,6000,9.91,0.07,0,2
34560,RENT,8.0,E,10000,16.4,0.29,1,11
40000,MORTGAGE,3.0,B,12000,10.36,0.3,0,3
60000,MORTGAGE,11.0,A,2000,7.66,0.03,0,1
40000,RENT,1.0,B,14125,9.91,0.35,1,5
54000,RENT,3.0,C,3000,14.26,0.06,0,12
54000,RENT,1.0,A,9600,9.32,0.18,1,3
60000,RENT,2.0,A,5500,5.42,0.09,0,1
60000,RENT,5.0,E,17200,17.06,0.28,0,9
50000,RENT,5.0,C,4200,15.23,0.08,0,9
80000,MORTGAGE,7.0,A,2000,7.51,0.02,0,1
90000,MORTGAGE,2.0,A,15000,9.38,0.17,0,1
120000,MORTGAGE,13.0,C,7200,14.72,0.06,0,7
30000,RENT,2.0,A,12000,7.51,0.4,1,5
62900,MORTGAGE,2.0,D,18000,14.09,0.24,1,5
40000,RENT,3.0,C,3000,13.22,0.07,0,5
68000,MORTGAGE,0.0,A,5000,8.9,0.07,0,5
75000,MORTGAGE,4.0,A,12000,7.51,0.16,0,6
31200,RENT,1.0,C,3200,13.11,0.1,0,9
24000,RENT,4.0,B,3000,10.95,0.13,0,5
100000,MORTGAGE,7.0,A,6000,7.74,0.06,0,2
27000,OWN,0.0,A,12000,7.51,0.44,0,3
70000,MORTGAGE,4.0,A,10000,7.29,0.14,0,6
42000,RENT,3.0,B,2000,11.49,0.05,0,1
120000,RENT,0.0,B,20000,10.37,0.17,0,6
90000,MORTGAGE,8.0,A,10000,5.99,0.11,0,3
60000,RENT,2.0,B,7000,10.62,0.12,0,6
45600,RENT,6.0,A,23500,7.66,0.5,1,6
75000,RENT,3.0,B,15000,11.49,0.2,0,3
75000,RENT,0.0,A,10000,6.99,0.13,0,3
70000,RENT,2.0,B,16000,12.18,0.23,0,4
74000,MORTGAGE,14.0,D,7000,15.62,0.09,1,6
112000,MORTGAGE,21.0,A,5000,7.9,0.04,0,5
30000,RENT,0.0,A,12000,8.94,0.4,1,1
110000,MORTGAGE,7.0,B,6000,11.71,0.05,0,6
42000,RENT,3.0,B,3550,11.99,0.08,0,6
