person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status
35000,RENT,0.0,EDUCATION,B,6000,11.49,0.17,N,0
56000,OWN,6.0,MEDICAL,C,4000,13.35,0.07,N,0
28800,OWN,8.0,PERSONAL,A,6000,8.9,0.21,N,0
70000,RENT,14.0,VENTURE,B,12000,11.11,0.17,N,0
60000,RENT,2.0,MEDICAL,A,6000,6.92,0.1,N,0
45000,RENT,2.0,VENTURE,A,9000,8.94,0.2,N,0
45000,MORTGAGE,9.0,EDUCATION,A,12000,6.54,0.27,N,0
20000,RENT,0.0,PERSONAL,C,2500,13.49,0.13,Y,0
69600,RENT,11.0,EDUCATION,D,5000,14.84,0.07,Y,0
110000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,12.98,0.14,Y,0
78000,MORTGAGE,5.0,VENTURE,B,12800,10.59,0.17,N,0
33000,RENT,6.0,PERSONAL,B,10000,11.12,0.3,N,1
33000,MORTGAGE,1.0,EDUCATION,B,4000,10.75,0.12,N,0
70000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,16000,11.14,0.23,N,0
100000,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.57,0.05,Y,0
33000,OWN,8.0,MEDICAL,A,7300,8.9,0.23,N,0
80000,RENT,2.0,HOMEIMPROVEMENT,D,17000,14.11,0.21,Y,0
60000,OWN,13.0,MEDICAL,A,15000,6.62,0.25,N,0
84000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5950,11.12,0.07,N,0
65000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,4800,12.73,0.07,Y,0
45000,OWN,0.0,PERSONAL,A,3200,7.88,0.07,N,0
45000,MORTGAGE,3.0,PERSONAL,A,7000,8.59,0.16,N,0
95000,MORTGAGE,10.0,EDUCATION,A,10000,7.68,0.11,N,0
33000,RENT,2.0,VENTURE,A,3000,6.99,0.09,N,0
30000,RENT,3.0,MEDICAL,D,5000,16.49,0.17,N,1
25000,RENT,3.0,VENTURE,C,3500,13.49,0.14,Y,1
75000,MORTGAGE,12.0,VENTURE,A,14000,7.88,0.19,N,0
45000,RENT,5.0,DEBTCONSOLIDATION,A,2800,6.54,0.06,N,0
122004,MORTGAGE,13.0,MEDICAL,A,10000,8.59,0.08,N,0
50000,RENT,4.0,PERSONAL,B,6000,11.49,0.12,N,0
48000,RENT,12.0,EDUCATION,B,2000,9.62,0.04,N,0
78000,MORTGAGE,7.0,PERSONAL,A,5500,8.0,0.07,N,0
80000,RENT,3.0,MEDICAL,B,6000,10.75,0.07,N,0
72000,RENT,3.0,VENTURE,C,16000,15.96,0.22,Y,0
51000,MORTGAGE,6.0,PERSONAL,A,12000,7.66,0.24,N,0
120000,MORTGAGE,1.0,EDUCATION,E,6000,18.64,0.05,Y,0
90000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,14400,7.9,0.16,N,0
68000,MORTGAGE,7.0,PERSONAL,C,15900,13.49,0.25,N,0
54000,RENT,0.0,MEDICAL,B,12500,11.71,0.24,N,1
32000,RENT,6.0,EDUCATION,D,8000,15.58,0.25,N,1
120000,MORTGAGE,4.0,EDUCATION,A,4000,7.14,0.03,N,0
70000,MORTGAGE,5.0,VENTURE,B,10000,12.18,0.14,N,0
67000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,16000,7.49,0.24,N,0
92700,OWN,2.0,EDUCATION,B,2000,9.25,0.02,N,0
58000,RENT,13.0,HOMEIMPROVEMENT,C,15000,14.27,0.26,Y,0
31200,RENT,7.0,MEDICAL,B,2400,11.71,0.08,N,0
90000,MORTGAGE,5.0,PERSONAL,A,12000,6.62,0.13,N,0
39996,RENT,2.0,DEBTCONSOLIDATION,B,8000,12.53,0.2,N,0
44000,MORTGAGE,13.0,EDUCATION,B,10000,11.86,0.23,N,1
82632,RENT,3.0,DEBTCONSOLIDATION,B,10000,12.21,0.12,N,0
40000,RENT,9.0,EDUCATION,A,8000,7.68,0.2,N,0
66000,RENT,5.0,HOMEIMPROVEMENT,B,10000,10.99,0.15,N,0
70000,RENT,9.0,EDUCATION,A,20000,6.54,0.29,N,0
48000,RENT,7.0,MEDICAL,A,8000,8.9,0.17,N,1
90000,MORTGAGE,12.0,EDUCATION,B,6000,9.91,0.07,N,0
34560,RENT,8.0,MEDICAL,E,10000,16.4,0.29,Y,1
40000,MORTGAGE,3.0,PERSONAL,B,12000,10.36,0.3,N,0
60000,MORTGAGE,11.0,VENTURE,A,2000,7.66,0.03,N,0
40000,RENT,1.0,MEDICAL,B,14125,9.91,0.35,N,1
54000,RENT,3.0,DEBTCONSOLIDATION,C,3000,14.26,0.06,Y,0
54000,RENT,1.0,PERSONAL,A,9600,9.32,0.18,N,1
60000,RENT,2.0,VENTURE,A,5500,5.42,0.09,N,0
