Категориальный,Числовой,η²,Процент дисперсии,Размер эффекта
Грейд кредита,Процентная ставка,0.9072402983965017,90.7%,большой
Наличие дефолта,Процентная ставка,0.25184424062521565,25.2%,большой
Владение жильём,Стаж работы,0.08650467428728568,8.7%,средний
Владение жильём,Доход,0.08032423935108482,8.0%,средний
Владение жильём,Процентная ставка,0.042859640669052845,4.3%,малый
Грейд кредита,% дохода на кредит,0.027710877061726997,2.8%,малый
Владение жильём,% дохода на кредит,0.026194271869562944,2.6%,малый
Цель кредита,Возраст,0.025616151872403948,2.6%,малый
Грейд кредита,Сумма кредита,0.019822692629328943,2.0%,малый
Цель кредита,Длина кред. истории,0.019275520655027165,1.9%,малый
Владение жильём,Сумма кредита,0.013286443667660207,1.3%,малый
Грейд кредита,Стаж работы,0.01088627972464789,1.1%,малый
Цель кредита,Доход,0.01018194301386937,1.0%,малый
Цель кредита,Сумма кредита,0.0046788576679846735,0.5%,незначимый
Грейд кредита,Доход,0.004099781650041708,0.4%,незначимый
Цель кредита,Стаж работы,0.00341130131954259,0.3%,незначимый
Наличие дефолта,Стаж работы,0.0029666577822395784,0.3%,незначимый
Владение жильём,Возраст,0.002731267224171272,0.3%,незначимый
Владение жильём,Длина кред. истории,0.0022165779931331295,0.2%,незначимый
Наличие дефолта,% дохода на кредит,0.00184723607855554,0.2%,незначимый
Наличие дефолта,Доход,0.0012612298526688318,0.1%,незначимый
Цель кредита,Процентная ставка,0.0008331416713781715,0.1%,незначимый
Цель кредита,% дохода на кредит,0.000820434456923784,0.1%,незначимый
Грейд кредита,Возраст,0.00045225245573625016,0.0%,незначимый
Наличие дефолта,Сумма кредита,0.00041092695026854586,0.0%,незначимый
Грейд кредита,Длина кред. истории,0.00027021646227845677,0.0%,незначимый
Наличие дефолта,Длина кред. истории,2.38761599777009e-05,0.0%,незначимый
Наличие дефолта,Возраст,1.943259816251874e-05,0.0%,незначимый
