,Возраст,Доход,Стаж работы,Сумма кредита,Процентная ставка,% дохода на кредит,Длина кред. истории,Владение жильём,Цель кредита,Грейд кредита,Наличие дефолта
Возраст,0.0,-0.02943636824964735,0.011857901524409575,0.002659818097554778,-0.006058744827835083,0.00684112793748648,-0.0007040119215172558,0.01375083266639432,0.012605769320617077,-0.0006733157401809242,0.012412741170786612
Доход,-0.02943636824964735,0.0,-0.023434551210126053,0.061713299141406,0.07076137145970052,0.0665603248674933,-0.029447786669224874,0.02233388082124077,-0.014072689561545948,0.08698654638256542,0.012490544335029496
Стаж работы,0.011857901524409575,-0.023434551210126053,0.0,0.033367459880669914,0.001399917997533695,0.020545192518612865,0.0100023955702091,0.02094126622563708,0.048075122082125166,0.010044580932133562,0.045034794937074296
Сумма кредита,0.002659818097554778,0.061713299141406,0.033367459880669914,0.0,0.023688752695326554,0.044621441225438985,-0.008331837073531911,0.06563109134584766,0.034272769387642454,0.037130839890782585,0.06834837482718026
Процентная ставка,-0.006058744827835083,0.07076137145970052,0.001399917997533695,0.023688752695326554,0.0,0.11476538073322229,-0.0033905011689892017,0.052143968098512294,0.0009472168512673074,0.0025491255879123154,-0.002806578862739495
% дохода на кредит,0.00684112793748648,0.0665603248674933,0.020545192518612865,0.044621441225438985,0.11476538073322229,0.0,0.0035373839786642103,0.04940612725627125,0.033524565518672333,0.12212940067987621,0.05760567610399325
Длина кред. истории,-0.0007040119215172558,-0.029447786669224874,0.0100023955702091,-0.008331837073531911,-0.0033905011689892017,0.0035373839786642103,0.0,0.003244880006204709,0.0138725544219096,0.003286456575757213,0.012390573685175266
Владение жильём,0.01375083266639432,0.02233388082124077,0.02094126622563708,0.06563109134584766,0.052143968098512294,0.04940612725627125,0.003244880006204709,0.0,0.04739403110064888,0.059182471295555206,0.043277867583779384
Цель кредита,0.012605769320617077,-0.014072689561545948,0.048075122082125166,0.034272769387642454,0.0009472168512673074,0.033524565518672333,0.0138725544219096,0.04739403110064888,0.0,0.01385241634870582,0.05379494059209111
Грейд кредита,-0.0006733157401809242,0.08698654638256542,0.010044580932133562,0.037130839890782585,0.0025491255879123154,0.12212940067987621,0.003286456575757213,0.059182471295555206,0.01385241634870582,0.0,0.0013207465028622911
Наличие дефолта,0.012412741170786612,0.012490544335029496,0.045034794937074296,0.06834837482718026,-0.002806578862739495,0.05760567610399325,0.012390573685175266,0.043277867583779384,0.05379494059209111,0.0013207465028622911,0.0
