Признак 1,Признак 2,ROC-AUC,Синергия
Процентная ставка,% дохода на кредит,0.88577010249095,0.11476538073322229
% дохода на кредит,Грейд кредита,0.8810496762793357,0.12212940067987621
Доход,Грейд кредита,0.8467153044308026,0.08698654638256542
Доход,Процентная ставка,0.8417660932174282,0.07076137145970052
Доход,% дохода на кредит,0.8262890829157304,0.0665603248674933
Процентная ставка,Владение жильём,0.82314868985624,0.052143968098512294
Доход,Сумма кредита,0.8214420571896431,0.061713299141406
Владение жильём,Грейд кредита,0.8181027468950147,0.059182471295555206
% дохода на кредит,Наличие дефолта,0.7988826950377289,0.05760567610399325
Сумма кредита,Грейд кредита,0.7960511154902421,0.037130839890782585
