,Возраст,Доход,Стаж работы,Сумма кредита,Процентная ставка,% дохода на кредит,Длина кред. истории,Владение жильём,Цель кредита,Грейд кредита,Наличие дефолта
Возраст,0.0,0.6630349704124245,0.078683332227247,0.2195205434308191,0.021397555760807655,0.11176076344298604,0.2656072813540642,0.11808679398216868,0.3299145242429828,0.046092357591700606,0.41059912988586733
Доход,0.6630349704124245,0.0,0.07395343561616256,0.15561173231737543,0.12998499186636633,0.14889051270181225,0.04039128473246204,0.23025618517170598,0.05136723519450257,0.07647424734060772,0.35042204005339916
Стаж работы,0.078683332227247,0.07395343561616256,0.0,0.16014092171014765,0.38939430541976555,0.14984615431265383,0.08635514892430989,1.0,0.085180982196923,0.08735636559672016,0.046958555471093025
Сумма кредита,0.2195205434308191,0.15561173231737543,0.16014092171014765,0.0,0.4314586046396777,0.8716840189121776,0.07883472171644153,0.6506908516472224,0.04721657560249729,0.1201008176887929,0.21834749892559452
Процентная ставка,0.021397555760807655,0.12998499186636633,0.38939430541976555,0.4314586046396777,0.0,0.20611439936018164,0.18499748285349682,0.34481899443113423,0.07003427215711924,0.6859868438926229,0.08461634699669661
% дохода на кредит,0.11176076344298604,0.14889051270181225,0.14984615431265383,0.8716840189121776,0.20611439936018164,0.0,0.002190078884955545,0.4918579827953683,0.11471080988550447,0.1787159890411643,0.05997834407420172
Длина кред. истории,0.2656072813540642,0.04039128473246204,0.08635514892430989,0.07883472171644153,0.18499748285349682,0.002190078884955545,0.0,0.14771676665890998,0.06352356425491172,0.032177320846199266,0.3129842173715654
Владение жильём,0.11808679398216868,0.23025618517170598,1.0,0.6506908516472224,0.34481899443113423,0.4918579827953683,0.14771676665890998,0.0,0.007661510881523959,0.1341778594600101,0.021329105200692318
Цель кредита,0.3299145242429828,0.05136723519450257,0.085180982196923,0.04721657560249729,0.07003427215711924,0.11471080988550447,0.06352356425491172,0.007661510881523959,0.0,0.1179778330213571,0.030021254881658303
Грейд кредита,0.046092357591700606,0.07647424734060772,0.08735636559672016,0.1201008176887929,0.6859868438926229,0.1787159890411643,0.032177320846199266,0.1341778594600101,0.1179778330213571,0.0,0.20519254707601842
Наличие дефолта,0.41059912988586733,0.35042204005339916,0.046958555471093025,0.21834749892559452,0.08461634699669661,0.05997834407420172,0.3129842173715654,0.021329105200692318,0.030021254881658303,0.20519254707601842,0.0
