Признак 1,Признак 2,H-statistic,Сила взаимодействия
Стаж работы,Владение жильём,1.0,сильное
Сумма кредита,% дохода на кредит,0.8716840189121776,сильное
Процентная ставка,Грейд кредита,0.6859868438926229,сильное
Возраст,Доход,0.6630349704124245,сильное
Сумма кредита,Владение жильём,0.6506908516472224,сильное
% дохода на кредит,Владение жильём,0.4918579827953683,сильное
Сумма кредита,Процентная ставка,0.4314586046396777,сильное
Возраст,Наличие дефолта,0.41059912988586733,сильное
Стаж работы,Процентная ставка,0.38939430541976555,сильное
Доход,Наличие дефолта,0.35042204005339916,сильное
Процентная ставка,Владение жильём,0.34481899443113423,сильное
Возраст,Цель кредита,0.3299145242429828,сильное
Длина кред. истории,Наличие дефолта,0.3129842173715654,сильное
Возраст,Длина кред. истории,0.2656072813540642,среднее
Доход,Владение жильём,0.23025618517170598,среднее
