,Возраст,Доход,Стаж работы,Сумма кредита,Процентная ставка,% дохода на кредит,Длина кред. истории,Владение жильём,Цель кредита,Грейд кредита,Наличие дефолта
Возраст,0.0,-0.0004137889973802947,-0.00035846828609987363,0.00147182860998641,0.0005298880685877597,-0.0009020004763039477,0.0014561998888624676,0.0013410931174088377,-0.00036987973326989537,0.0020064301024052544,-6.747638326585943e-05
Доход,-0.0025757620862110345,0.0,0.0018791676589662966,0.00271964555052792,0.002592631182027478,0.0881544216877035,-0.0001227970945462194,0.015449114868619454,0.0014906823053107534,0.014755001190759627,0.0019320076208621123
Стаж работы,-0.00038277963007058433,0.0026400134952767468,0.0,0.0017645570373898021,0.00035375486226879235,0.0007514189886480976,-0.00034854528856069765,-0.001607277526395244,0.0019297749464158775,0.0028573271413827803,0.000261222910216663
Сумма кредита,0.0005772703818370287,0.007638723505596676,0.001010905374295483,0.0,0.001546995316345185,0.04461106811145518,0.00017241208224179073,0.0023978923553227803,-0.0006750119075969712,0.01186864928157496,0.0010252937207272162
Процентная ставка,-0.0005167400968484485,0.00545194292291816,0.0006226680955782344,-0.0014256866714298306,0.0,0.002857575216321323,-0.0004849865047233652,0.0033244522505358094,-0.0007171846471382207,0.0912191394776534,0.0016206735730729543
% дохода на кредит,-0.0006953540525521811,0.08535688060649368,0.003289473684210501,0.05103348019369688,0.012957202111613865,0.0,0.0004130447725649781,0.008063923950146823,-4.3661189171990966e-05,0.023631122489481578,0.0004658847344606087
Длина кред. истории,0.0007174327220766793,0.0016539156148289158,0.0004328907676429978,0.0010687068349606752,0.0012220171469396815,-0.002619919425260034,0.0,0.000118083670715214,-0.0009739422084623344,0.0003840200047629527,-0.0007409998412320151
Владение жильём,-0.0007834206557117011,0.01566766888941816,-0.0004936691275701025,0.004567803842184588,0.006168631420179368,0.008596788917996354,-0.0012440958164642007,0.0,0.0007390152417242543,0.012793968802095657,-0.0006293661189172332
Цель кредита,-0.0010066881003412648,0.0017742319599904771,0.0011262602206875433,0.000531624593157076,1.5132571247130494e-05,-0.002151057791537604,-0.0010567992379137672,0.0006229161705167373,0.0,0.003066950464396298,0.0015251647217591352
Грейд кредита,0.0012656783361117826,0.009695264745574382,0.002323221798840991,0.007951546003016514,0.08385205802968959,0.017706100658887045,-0.000823608795745064,0.011723029292688703,0.0019843514328809235,0.0,0.0024802532348971416
Наличие дефолта,0.001010161149480071,0.0008439509407002083,-0.00015008533777890846,0.0024293978725092574,0.0018967809795983129,-0.0020394240692228963,-0.0001848158291657483,-0.001465874811463045,0.0022262244978962535,0.006494105739461728,0.0
