Признак 1,Признак 2,Корреляция,Абсолютное значение
Возраст,Длина кредитной истории (лет),0.8742597354896695,0.8742597354896695
Сумма кредита,Процент дохода на кредит (%),0.6472664019224136,0.6472664019224136
Доход,Сумма кредита,0.3109421045673472,0.3109421045673472
Доход,Процент дохода на кредит (%),-0.28031413365438196,0.28031413365438196
Доход,Стаж работы (лет),0.16404235917885113,0.16404235917885113
Процентная ставка (%),Процент дохода на кредит (%),0.15220088604054355,0.15220088604054355
Возраст,Стаж работы (лет),0.12127583053031812,0.12127583053031812
Сумма кредита,Процентная ставка (%),0.11358211013497878,0.11358211013497878
Стаж работы (лет),Длина кредитной истории (лет),0.10284173511479938,0.10284173511479938
Возраст,Доход,0.10217559982326707,0.10217559982326707
