Признак 1,Признак 2,Корреляция,Абсолютное значение
Возраст,Длина кредитной истории (лет),0.8608564291204261,0.8608564291204261
Сумма кредита,Процент дохода на кредит (%),0.6381243123152593,0.6381243123152593
Доход,Сумма кредита,0.35321797489806184,0.35321797489806184
Доход,Процент дохода на кредит (%),0.3160963939200785,0.3160963939200785
Доход,Стаж работы (лет),0.17514030716385864,0.17514030716385864
Возраст,Стаж работы (лет),0.16286226556393713,0.16286226556393713
Возраст,Доход,0.14122351458108875,0.14122351458108875
Стаж работы (лет),Длина кредитной истории (лет),0.1383062364831702,0.1383062364831702
Процентная ставка (%),Процент дохода на кредит (%),0.1167143302633298,0.1167143302633298
Стаж работы (лет),Процентная ставка (%),0.1134334938708433,0.1134334938708433
