Ранг,Признак,Признак (англ),Тип,Importance (mean),Importance (std)
1,Грейд кредита,loan_grade,Категориальный,0.060832125500895215,0.0014242296642756674
2,Процент дохода на кредит (%),loan_percent_income,Числовой,0.0562963594509336,0.0009855042368218186
3,Владение жильем,person_home_ownership,Категориальный,0.029883195498337477,0.0010296561799245803
4,Доход,person_income,Числовой,0.012857021058913832,0.0011386434325037944
5,Цель кредита,loan_intent,Категориальный,0.009318782504902413,0.001087207998043007
6,Сумма кредита,loan_amnt,Числовой,0.007997271719669208,0.00048048436537148306
7,Стаж работы (лет),person_emp_length,Числовой,0.0009122687356126092,0.0006089290250036446
8,Длина кредитной истории (лет),cb_person_cred_hist_length,Числовой,0.0006138630744309092,0.00038470506173344274
9,Возраст,person_age,Числовой,0.00023872452894537765,0.00031395605148814085
10,Наличие дефолта в истории,cb_person_default_on_file,Категориальный,-0.0007588029670048457,0.00022379409580369154
11,Процентная ставка (%),loan_int_rate,Числовой,-0.0009378463637138457,0.0007943261794766467
