Ранг,Признак,Признак (англ),Тип,Коэффициент,Абсолютное значение,Направление
1,Грейд кредита,loan_grade,Категориальный,-1.160562987321516,1.160562987321516,↓
2,Процент дохода на кредит (%),loan_percent_income,Числовой,1.075696436216262,1.075696436216262,↑
3,Владение жильем,person_home_ownership,Категориальный,-0.5721705293688101,0.5721705293688101,↓
4,Цель кредита,loan_intent,Категориальный,-0.3656203553544634,0.3656203553544634,↓
5,Сумма кредита,loan_amnt,Числовой,-0.24857818229437867,0.24857818229437867,↓
6,Доход,person_income,Числовой,-0.2291760141819393,0.2291760141819393,↓
7,Возраст,person_age,Числовой,0.08156279624026366,0.08156279624026366,↑
8,Процентная ставка (%),loan_int_rate,Числовой,-0.046275925163149066,0.046275925163149066,↓
9,Длина кредитной истории (лет),cb_person_cred_hist_length,Числовой,-0.03500503851196139,0.03500503851196139,↓
10,Наличие дефолта в истории,cb_person_default_on_file,Категориальный,0.030203250453485927,0.030203250453485927,↑
11,Стаж работы (лет),person_emp_length,Числовой,-0.012640513701151514,0.012640513701151514,↓
