Признак,Признак (англ),Тип,RFE Ранг,Важность
Процентная ставка (%),loan_int_rate,Числовой,1,КРИТИЧЕН
Процент дохода на кредит (%),loan_percent_income,Числовой,2,Важен
Грейд кредита,loan_grade,Категориальный,3,Важен
Доход,person_income,Числовой,4,Средний
Владение жильем,person_home_ownership,Категориальный,5,Средний
Сумма кредита,loan_amnt,Числовой,6,Средний
Цель кредита,loan_intent,Категориальный,7,Слабый
Стаж работы (лет),person_emp_length,Числовой,8,Слабый
Наличие дефолта в истории,cb_person_default_on_file,Категориальный,9,Слабый
Возраст,person_age,Числовой,10,Слабый
Длина кредитной истории (лет),cb_person_cred_hist_length,Числовой,11,Слабый
