,person_income_boxcox,Стаж работы,Сумма кредита,Процентная ставка,% дохода на кредит,Владение жильём,Цель кредита,Грейд кредита,Наличие дефолта,Статус кредита
person_income_boxcox,1.0,0.22274988240687776,0.3657907805595754,-0.08501877555815526,-0.3273522785653797,0.3049710983411917,0.01913140768383853,0.08566406885665948,0.047538812253083984,-0.2355379483736171
Стаж работы,0.22274988240687776,1.0,0.09426417080055514,-0.11073090128556035,-0.06207115358975174,0.2817381545743814,0.0049624671171793365,0.1069488314481286,0.0608002508237044,-0.11842780339732764
Сумма кредита,0.3657907805595754,0.09426417080055514,1.0,0.08319804506904879,0.7168335567715802,0.08953328806301879,0.0076102129410463085,-0.0790681090988487,-0.008368439193355993,0.12875238960928156
Процентная ставка,-0.08501877555815526,-0.11073090128556035,0.08319804506904879,1.0,0.1443879326910848,-0.18606334813380979,-0.008034343570005525,-0.944046290442357,-0.5052111424888943,0.31774198907910894
% дохода на кредит,-0.3273522785653797,-0.06207115358975174,0.7168335567715802,0.1443879326910848,1.0,-0.12505809981074412,-0.0037800062306508494,-0.14045408565765943,-0.042326735598607744,0.29363937795864703
Владение жильём,0.3049710983411917,0.2817381545743814,0.08953328806301879,-0.18606334813380979,-0.12505809981074412,1.0,0.07360280546388447,0.1828399998291554,0.08816612132403857,-0.24074851213905699
Цель кредита,0.01913140768383853,0.0049624671171793365,0.0076102129410463085,-0.008034343570005525,-0.0037800062306508494,0.07360280546388447,1.0,0.011344794851607137,0.0014405968107617626,-0.1038015763371816
Грейд кредита,0.08566406885665948,0.1069488314481286,-0.0790681090988487,-0.944046290442357,-0.14045408565765943,0.1828399998291554,0.011344794851607137,1.0,0.5366861285989952,-0.3296033473762788
Наличие дефолта,0.047538812253083984,0.0608002508237044,-0.008368439193355993,-0.5052111424888943,-0.042326735598607744,0.08816612132403857,0.0014405968107617626,0.5366861285989952,1.0,-0.18696169569442703
Статус кредита,-0.2355379483736171,-0.11842780339732764,0.12875238960928156,0.31774198907910894,0.29363937795864703,-0.24074851213905699,-0.1038015763371816,-0.3296033473762788,-0.18696169569442703,1.0
